"File name","Satisfiable","Model's/Contradiction's file name","User time(ms)","Time-out","Timestamp","Allowed execution-time(ms)","Number of threads","System Information","Error","valuation.total.variable.number","valuation.total.connective.number","valuation.total.variable.occurences","valuation.total.variable.max-depth","valuation.total.connective.occurences","valuation.total.connective.max-depth","valuation.true.occurences","valuation.true.max-depth","valuation.unknown.occurences","valuation.unknown.max-depth","valuation.false.occurences","valuation.false.max-depth","formula.total.variable.number","formula.total.connective.number","formula.total.variable.occurences","formula.total.variable.max-depth","formula.total.connective.occurences","formula.total.connective.max-depth","formula.true.occurences","formula.true.max-depth","formula.false.occurences","formula.false.max-depth","formula.negation.occurences","formula.negation.max-depth","formula.conjunction.occurences","formula.conjunction.max-depth","formula.disjunction.occurences","formula.disjunction.max-depth","formula.implication.occurences","formula.implication.max-depth","total.variable.occurences","total.variable.max-depth","total.variable.number","total.connective.occurences","total.connective.max-depth","total.connective.number","total.symbol.max-depth","total.symbol.length"
"./1_3_20.mtl","false","N/A","320.0","false","13-09-2018 12:34:59","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","86","25","148","24","0","-1","0","-1","63","23","21","23","0","-1","64","24","86","25","3","149","24","4","25","235"
"./1_3_30.mtl","false","N/A","860.0","false","13-09-2018 12:34:59","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","126","35","218","34","0","-1","0","-1","93","33","31","33","0","-1","94","34","126","35","3","219","34","4","35","345"
"./1_1_20.mtl","false","N/A","1070.0","false","13-09-2018 12:35:00","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","86","64","325","63","0","-1","0","-1","240","63","0","-1","21","63","64","63","86","64","3","326","63","4","64","412"
"./1_4_10.mtl","false","N/A","1180.0","false","13-09-2018 12:35:00","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","46","15","78","14","0","-1","0","-1","33","13","11","13","0","-1","34","14","46","15","3","79","14","4","15","125"
"./1_2_10.mtl","false","N/A","2050.0","false","13-09-2018 12:35:01","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","46","34","165","33","0","-1","0","-1","120","33","0","-1","11","33","34","33","46","34","3","166","33","4","34","212"
"./1_1_30.mtl","false","N/A","2230.0","false","13-09-2018 12:35:01","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","126","94","485","93","0","-1","0","-1","360","93","0","-1","31","93","94","93","126","94","3","486","93","4","94","612"
"./1_4_20.mtl","false","N/A","4290.0","false","13-09-2018 12:35:04","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","86","25","148","24","0","-1","0","-1","63","23","21","23","0","-1","64","24","86","25","3","149","24","4","25","235"
"./1_2_20.mtl","false","N/A","8880.0","false","13-09-2018 12:35:09","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","86","64","325","63","0","-1","0","-1","240","63","0","-1","21","63","64","63","86","64","3","326","63","4","64","412"
"./1_2_30.mtl","N/A","N/A","N/A","true","13-09-2018 12:35:10","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","126","94","485","93","0","-1","0","-1","360","93","0","-1","31","93","94","93","126","94","3","486","93","4","94","612"
"./1_4_30.mtl","N/A","N/A","N/A","true","13-09-2018 12:35:10","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","0","-1","1","0","3","3","126","35","218","34","0","-1","0","-1","93","33","31","33","0","-1","94","34","126","35","3","219","34","4","35","345"
