"File name","Satisfiable","Model's/Contradiction's file name","User time(ms)","Time-out","Timestamp","Allowed execution-time(ms)","Number of threads","System Information","Error","valuation.total.variable.number","valuation.total.connective.number","valuation.total.variable.occurences","valuation.total.variable.max-depth","valuation.total.connective.occurences","valuation.total.connective.max-depth","valuation.true.occurences","valuation.true.max-depth","valuation.unknown.occurences","valuation.unknown.max-depth","valuation.false.occurences","valuation.false.max-depth","formula.total.variable.number","formula.total.connective.number","formula.total.variable.occurences","formula.total.variable.max-depth","formula.total.connective.occurences","formula.total.connective.max-depth","formula.true.occurences","formula.true.max-depth","formula.false.occurences","formula.false.max-depth","formula.negation.occurences","formula.negation.max-depth","formula.conjunction.occurences","formula.conjunction.max-depth","formula.disjunction.occurences","formula.disjunction.max-depth","formula.implication.occurences","formula.implication.max-depth","total.variable.occurences","total.variable.max-depth","total.variable.number","total.connective.occurences","total.connective.max-depth","total.connective.number","total.symbol.max-depth","total.symbol.length"
"./0_1_10.mtl","false","./0_1_10.contradiction","500.0","false","13-09-2018 12:35:15","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","46","35","166","34","0","-1","0","-1","121","34","0","-1","11","34","34","34","46","35","3","167","34","4","35","213"
"./1_3_20.mtl","false","./1_3_20.contradiction","390.0","false","13-09-2018 12:35:15","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","86","25","148","24","0","-1","0","-1","63","23","21","23","0","-1","64","24","86","25","3","149","24","4","25","235"
"./0_3_30.mtl","false","./0_3_30.contradiction","940.0","false","13-09-2018 12:35:16","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","36","219","35","0","-1","0","-1","94","34","31","34","0","-1","94","35","126","36","3","220","35","4","36","346"
"./1_4_30.mtl","false","N/A","1720.0","false","13-09-2018 12:35:17","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","35","218","34","0","-1","0","-1","93","33","31","33","0","-1","94","34","126","35","3","219","34","4","35","345"
"./0_4_20.mtl","false","N/A","810.0","false","13-09-2018 12:35:17","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","86","26","149","25","0","-1","0","-1","64","24","21","24","0","-1","64","25","86","26","3","150","25","4","26","236"
"./0_4_30.mtl","false","N/A","1680.0","false","13-09-2018 12:35:18","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","36","219","35","0","-1","0","-1","94","34","31","34","0","-1","94","35","126","36","3","220","35","4","36","346"
"./0_1_20.mtl","false","./0_1_20.contradiction","1910.0","false","13-09-2018 12:35:18","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","86","65","326","64","0","-1","0","-1","241","64","0","-1","21","64","64","64","86","65","3","327","64","4","65","413"
"./1_1_20.mtl","false","./1_1_20.contradiction","2120.0","false","13-09-2018 12:35:18","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","86","64","325","63","0","-1","0","-1","240","63","0","-1","21","63","64","63","86","64","3","326","63","4","64","412"
"./1_2_20.mtl","false","N/A","2180.0","false","13-09-2018 12:35:19","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","86","64","325","63","0","-1","0","-1","240","63","0","-1","21","63","64","63","86","64","3","326","63","4","64","412"
"./0_2_20.mtl","false","N/A","2590.0","false","13-09-2018 12:35:19","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","86","65","326","64","0","-1","0","-1","241","64","0","-1","21","64","64","64","86","65","3","327","64","4","65","413"
"./1_1_30.mtl","false","./1_1_30.contradiction","3610.0","false","13-09-2018 12:35:20","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","94","485","93","0","-1","0","-1","360","93","0","-1","31","93","94","93","126","94","3","486","93","4","94","612"
"./0_1_30.mtl","false","./0_1_30.contradiction","2840.0","false","13-09-2018 12:35:21","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","95","486","94","0","-1","0","-1","361","94","0","-1","31","94","94","94","126","95","3","487","94","4","95","613"
"./0_2_30.mtl","false","N/A","4500.0","false","13-09-2018 12:35:22","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","95","486","94","0","-1","0","-1","361","94","0","-1","31","94","94","94","126","95","3","487","94","4","95","613"
"./1_2_30.mtl","false","N/A","4490.0","false","13-09-2018 12:35:22","10000","14","./system.info","N/A","0","1","0","-1","1","0","0","-1","1","0","0","-1","3","3","126","94","485","93","0","-1","0","-1","360","93","0","-1","31","93","94","93","126","94","3","486","93","4","94","612"
